year,section,section_name,total_records,spawn_index_t,total_length_m,mean_width_m,surface_t,macrocystis_t,understory_t,spawn_date_xbar,spawn_date_sd,spawn_date_min,spawn_date_max,dive_survey_percent,latitude,longitude
1994,021,Juan Perez Sound,6,5231.2,12390,55.0,0.0,3592.2,1639.0,90.0,0,90,90,100,52.4376,-131.3172
1994,023,Naden Harbour,2,594.0,5770,12.5,0.0,423.9,170.2,NA,NA,NA,NA,100,53.0308,-131.8917
1994,024,Laskeek Bay,2,2379.1,7160,40.5,0.0,815.3,1563.8,NA,NA,NA,NA,100,52.8837,-131.8319
1994,025,Skincuttle Inlet,11,4548.5,13560,45.0,1103.5,1349.4,2095.6,81.8,1.8,80,84,73,52.3082,-131.2602
1995,006,Louscoone Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1995,021,Juan Perez Sound,3,1163.4,4465,86.7,0.0,164.2,999.2,100.0,0.0,100,100,100,52.4075,-131.3642
1995,023,Naden Harbour,1,49.6,3580,11.0,0.0,0.0,49.6,115.0,0,115,115,100,53.0383,-131.8781
1995,024,Laskeek Bay,2,107.7,2100,7.5,107.7,0.0,0.0,115.0,0.0,115,115,0,52.8831,-131.7947
1995,025,Skincuttle Inlet,7,3380.0,12925,94.4,25.6,5.4,3349.0,80.3,13.5,72,102,86,52.3179,-131.2633
1996,006,Louscoone Inlet,3,125.3,1085,33.3,0.0,0.0,125.3,77.3,15.0,60,86,33,52.1809,-131.2292
1996,021,Juan Perez Sound,4,920.1,8965,49.0,0.0,369.8,550.3,106.2,0.5,106,107,100,52.4392,-131.3227
1996,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1996,024,Laskeek Bay,3,698.2,5850,37.7,0.0,394.2,304.0,111.0,5.2,108,117,100,52.8777,-131.802
1996,025,Skincuttle Inlet,6,5630.8,9675,125.2,0.0,1132.8,4497.9,91.2,2.0,89,93,100,52.3366,-131.2959
1997,006,Louscoone Inlet,1,52.3,1450,19.0,0.0,0.0,52.3,88.0,0,88,88,100,52.1958,-131.237
1997,021,Juan Perez Sound,6,5483.6,14200,65.2,0.0,854.0,4629.6,96.0,3.9,91,100,100,52.426,-131.3368
1997,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1997,024,Laskeek Bay,2,1241.0,4900,34.5,0.0,376.1,864.9,101.5,0.7,101,102,100,52.8915,-131.8681
1997,025,Skincuttle Inlet,8,4000.7,15860,74.2,0.0,474.1,3526.6,84.0,15.2,65,99,100,52.3132,-131.2623
1998,006,Louscoone Inlet,7,0.0,1825,30.0,0.0,0.0,0.0,NA,NA,NA,NA,0,52.1918,-131.2352
1998,021,Juan Perez Sound,13,6472.4,25200,86.0,0.0,814.0,5658.4,75.7,4.9,71,90,100,52.4599,-131.4293
1998,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1998,024,Laskeek Bay,2,3900.8,11050,56.0,0.0,263.2,3637.6,82.0,0.0,82,82,100,52.8837,-131.8319
1998,025,Skincuttle Inlet,8,10248.5,22100,91.9,0.0,133.1,10115.5,73.6,2.5,70,77,100,52.3148,-131.2529
1999,006,Louscoone Inlet,2,43.6,1400,16.5,0.0,0.2,43.5,57.0,0.0,57,57,100,52.1833,-131.2332
1999,021,Juan Perez Sound,7,4239.3,16880,49.3,0.0,543.3,3696.0,73.3,15.4,57,87,100,52.4444,-131.4186
1999,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1999,024,Laskeek Bay,2,837.1,4200,49.0,0.0,138.0,699.1,98.0,0.0,98,98,100,52.8837,-131.8319
1999,025,Skincuttle Inlet,16,3851.0,22050,54.0,0.0,234.6,3616.5,77.9,10.7,54,86,69,52.3207,-131.2838
2000,006,Louscoone Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2000,021,Juan Perez Sound,13,3772.1,16075,88.7,0.0,1045.4,2726.8,86.1,8.5,67,93,100,52.5031,-131.5065
2000,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2000,024,Laskeek Bay,3,743.4,6700,41.7,0.0,154.1,589.3,89.3,18.5,68,100,100,52.8894,-131.837
2000,025,Skincuttle Inlet,4,825.5,4500,105.7,0.0,44.2,781.3,75.8,13.9,59,93,75,52.2875,-131.2666
2001,006,Louscoone Inlet,2,254.8,1750,29.5,0.0,4.6,250.2,58.0,0.0,58,58,100,52.1944,-131.2375
2001,021,Juan Perez Sound,17,10393.1,23375,53.9,0.0,359.6,10033.4,88.9,10.8,63,98,100,52.5225,-131.5277
2001,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2001,024,Laskeek Bay,3,1335.0,5050,42.3,0.0,33.1,1301.9,97.0,24.2,69,111,100,52.8894,-131.837
2001,025,Skincuttle Inlet,7,1875.7,9650,77.5,0.0,103.5,1772.2,67.4,8.8,60,86,100,52.3046,-131.2738
2002,006,Louscoone Inlet,2,99.6,1300,22.0,0.0,22.9,76.7,61.0,0.0,61,61,50,52.1944,-131.2375
2002,021,Juan Perez Sound,7,915.1,5800,51.3,0.0,0.0,915.1,86.9,11.9,72,109,43,52.447,-131.4294
2002,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2002,024,Laskeek Bay,5,891.8,5550,56.0,0.0,102.5,789.2,83.8,24.8,52,109,80,52.8271,-131.7841
2002,025,Skincuttle Inlet,2,379.0,3000,48.0,0.0,0.0,379.0,56.0,0.0,56,56,100,52.2674,-131.2525
2003,006,Louscoone Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2003,021,Juan Perez Sound,5,1226.4,4900,62.4,0.0,189.1,1037.3,98.4,5.4,90,105,100,52.4648,-131.4569
2003,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2003,024,Laskeek Bay,7,1082.6,5490,29.3,59.5,53.1,970.0,87.2,19.4,64,111,43,52.8669,-131.7804
2003,025,Skincuttle Inlet,6,4992.7,8200,88.7,2730.2,384.3,1878.1,87.5,16.9,53,96,83,52.3046,-131.2647
2004,006,Louscoone Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2004,021,Juan Perez Sound,7,2245.0,12600,27.3,0.0,1151.8,1093.2,88.6,6.5,74,92,100,52.4672,-131.4498
2004,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2004,024,Laskeek Bay,9,1632.5,11400,27.2,675.2,21.2,936.1,50.6,25.6,34,91,44,52.9043,-131.868
2004,025,Skincuttle Inlet,13,1028.7,7375,24.6,1028.7,0.0,0.0,71.1,21.5,45,88,0,52.2761,-131.2656
2005,006,Louscoone Inlet,2,503.1,2000,41.0,0.0,242.8,260.2,72.0,0.0,72,72,100,52.1833,-131.2439
2005,021,Juan Perez Sound,4,1111.2,8450,75.5,0.0,51.0,1060.2,91.5,7.9,82,98,100,52.4556,-131.4399
2005,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2005,024,Laskeek Bay,8,791.6,8300,21.8,157.0,118.0,516.6,73.6,21.0,57,107,50,52.8733,-131.8051
2005,025,Skincuttle Inlet,10,1208.0,3630,29.6,433.0,389.0,386.1,49.6,11.4,46,82,10,52.3253,-131.3169
2006,006,Louscoone Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2006,021,Juan Perez Sound,17,1800.8,9520,35.0,1800.8,0.0,0.0,89.2,3.4,86,94,0,52.4678,-131.409
2006,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2006,024,Laskeek Bay,19,1123.1,17100,16.9,1123.1,0.0,0.0,87.8,13.3,60,98,0,52.8312,-131.7408
2006,025,Skincuttle Inlet,10,1173.1,3750,30.8,1173.1,0.0,0.0,75.5,14.2,62,89,0,52.2963,-131.2775
2007,006,Louscoone Inlet,1,101.9,800,4.0,101.9,0.0,0.0,70.0,0,70,70,0,52.1958,-131.2584
2007,021,Juan Perez Sound,20,3290.7,11203,20.6,3290.7,0.0,0.0,90.2,0.6,90,92,0,52.413,-131.4063
2007,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2007,024,Laskeek Bay,9,1552.3,9250,19.9,910.3,88.8,553.2,91.6,16.2,49,98,11,52.7444,-131.6258
2007,025,Skincuttle Inlet,22,4491.2,11230,18.3,4137.4,0.0,353.8,80.5,11.6,65,89,9,52.3183,-131.3045
2008,006,Louscoone Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2008,021,Juan Perez Sound,8,1830.4,10490,36.4,0.0,704.1,1126.3,103.9,3.2,96,105,100,52.4165,-131.3937
2008,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2008,024,Laskeek Bay,6,1047.4,8560,30.7,0.0,92.9,954.5,92.0,10.8,78,105,100,52.9101,-131.8668
2008,025,Skincuttle Inlet,4,1335.3,4720,76.5,0.0,528.7,806.6,91.2,16.0,75,105,100,52.3152,-131.2871
2009,006,Louscoone Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2009,021,Juan Perez Sound,14,3422.8,25755,33.1,23.3,459.6,2939.9,103.7,8.6,92,113,57,52.4553,-131.4328
2009,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2009,024,Laskeek Bay,5,1041.0,12467,14.0,250.9,64.9,725.2,103.6,16.2,86,117,60,52.8135,-131.7272
2009,025,Skincuttle Inlet,10,5329.9,14017,46.8,1931.4,480.9,2917.6,89.6,18.7,69,114,40,52.3243,-131.3038
2010,006,Louscoone Inlet,2,151.3,920,10.0,151.3,0.0,0.0,95.0,0.0,95,95,0,52.2525,-131.3667
2010,021,Juan Perez Sound,10,1709.1,10760,59.2,143.3,285.4,1280.5,96.8,6.6,90,104,60,52.4328,-131.3511
2010,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2010,024,Laskeek Bay,6,2208.9,12940,25.0,115.6,360.2,1733.1,94.5,7.1,88,101,50,52.7911,-131.6889
2010,025,Skincuttle Inlet,4,2776.1,9050,80.2,39.6,134.0,2602.5,83.0,6.9,77,89,75,52.3175,-131.2799
2011,006,Louscoone Inlet,4,192.9,2900,4.8,192.9,0.0,0.0,71.0,0.0,71,71,0,52.1958,-131.2424
2011,021,Juan Perez Sound,6,722.5,5840,27.5,1.2,351.2,370.1,101.8,5.3,91,104,83,52.3975,-131.4224
2011,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2011,024,Laskeek Bay,8,1706.3,6800,25.8,496.0,289.3,921.1,103.0,18.5,73,113,25,52.8288,-131.7478
2011,025,Skincuttle Inlet,6,4932.4,18020,95.7,0.0,380.7,4551.8,92.8,6.2,85,104,100,52.3119,-131.2511
2012,006,Louscoone Inlet,9,197.9,2850,16.1,197.9,0.0,0.0,66.0,0.0,66,66,0,52.1708,-131.2294
2012,021,Juan Perez Sound,21,4747.9,25480,27.0,1423.1,1061.0,2263.8,96.5,5.8,88,101,57,52.4231,-131.3897
2012,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2012,024,Laskeek Bay,9,1538.1,11230,18.1,227.3,384.0,926.8,107.0,18.3,79,119,33,52.7606,-131.6468
2012,025,Skincuttle Inlet,9,3236.3,15050,51.8,20.4,542.5,2673.4,88.9,3.6,85,95,89,52.3154,-131.2633
2013,006,Louscoone Inlet,2,1271.9,4150,39.0,0.0,696.6,575.3,77.0,0.0,77,77,100,52.1763,-131.2316
2013,021,Juan Perez Sound,20,8750.9,48900,36.0,1309.0,1045.9,6396.0,92.8,10.8,78,105,60,52.4668,-131.4344
2013,023,Naden Harbour,3,116.6,2350,25.0,116.6,0.0,0.0,91.0,0.0,91,91,0,52.9508,-131.9031
2013,024,Laskeek Bay,10,798.6,7900,17.0,798.6,0.0,0.0,101.4,8.3,95,111,0,52.815,-131.7176
2013,025,Skincuttle Inlet,2,5087.4,7000,81.0,0.0,40.4,5047.0,79.0,0.0,79,79,100,52.3129,-131.1993
2014,006,Louscoone Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2014,021,Juan Perez Sound,9,4162.4,21725,57.0,0.0,555.0,3607.4,92.7,7.4,81,99,100,52.4622,-131.402
2014,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2014,024,Laskeek Bay,6,714.2,12475,32.0,0.0,90.0,624.3,102.5,2.7,100,105,100,52.8959,-131.9009
2014,025,Skincuttle Inlet,6,5689.3,18700,81.3,0.0,414.0,5275.3,93.5,0.8,92,94,100,52.3663,-131.2541
2015,006,Louscoone Inlet,1,0.0,0,,0.0,0.0,0.0,64.0,0,64,64,0,52.1958,-131.2584
2015,021,Juan Perez Sound,12,6688.0,25825,72.4,0.0,352.6,6335.4,86.3,0.5,86,87,100,52.435,-131.3264
2015,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2015,024,Laskeek Bay,6,792.2,9575,20.4,0.0,125.5,666.7,86.0,0.0,86,86,100,52.8829,-131.8331
2015,025,Skincuttle Inlet,9,5621.9,21750,55.3,0.0,86.7,5535.2,86.1,0.3,86,87,100,52.3429,-131.2447
2016,006,Louscoone Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2016,021,Juan Perez Sound,7,1124.0,7445,49.1,36.8,4.5,1082.7,93.1,5.4,88,100,57,52.4639,-131.3878
2016,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2016,024,Laskeek Bay,2,363.4,3275,30.8,0.0,0.0,363.4,105.0,0.0,105,105,100,52.8733,-131.7993
2016,025,Skincuttle Inlet,9,5400.9,19625,62.9,187.2,217.6,4996.1,90.1,4.4,87,101,78,52.3576,-131.2674
2017,006,Louscoone Inlet,1,0.0,2200,,0.0,0.0,0.0,64.0,0,64,64,0,52.1958,-131.237
2017,021,Juan Perez Sound,13,2371.8,16100,73.5,188.5,54.9,2128.4,90.0,2.4,88,96,69,52.4429,-131.3608
2017,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2017,024,Laskeek Bay,2,53.5,2800,16.7,0.0,0.4,53.1,105.5,3.5,103,108,100,52.7833,-131.6896
2017,025,Skincuttle Inlet,6,590.3,10250,53.6,124.9,9.8,455.6,90.2,2.0,88,93,50,52.3824,-131.2875
2018,006,Louscoone Inlet,1,0.0,1000,,0.0,0.0,0.0,59.0,0,59,59,0,52.1708,-131.2294
2018,021,Juan Perez Sound,7,1681.2,12175,40.5,0.0,37.9,1643.3,92.0,0.0,92,92,100,52.4623,-131.3645
2018,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2018,024,Laskeek Bay,2,1072.6,4200,38.0,0.0,13.9,1058.8,101.0,0.0,101,101,100,52.8733,-131.7993
2018,025,Skincuttle Inlet,6,1834.4,18200,50.2,0.0,0.2,1834.3,92.0,0.0,92,92,100,52.384,-131.284
2019,006,Louscoone Inlet,4,184.2,1150,55.0,184.2,0.0,0.0,91.0,0.0,91,91,0,52.1708,-131.2294
2019,021,Juan Perez Sound,15,8568.1,30175,56.0,101.2,18.2,8448.7,90.7,2.3,89,95,80,52.4515,-131.3879
2019,023,Naden Harbour,12,294.2,5350,8.4,199.2,0.0,95.0,91.3,8.1,89,117,8,53.0107,-131.926
2019,024,Laskeek Bay,8,463.5,9450,11.4,285.5,0.0,178.0,99.1,1.6,98,101,38,52.7781,-131.737
2019,025,Skincuttle Inlet,21,2113.8,31840,56.2,209.6,10.5,1893.7,91.8,2.1,89,94,52,52.3282,-131.295
2020,006,Louscoone Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2020,021,Juan Perez Sound,42,8202.1,14700,66.1,8202.1,0.0,0.0,91.8,3.7,88,100,0,52.4502,-131.3204
2020,023,Naden Harbour,1,3.8,350,20.0,3.8,0.0,0.0,105.0,0,105,105,0,53.0461,-131.7489
2020,024,Laskeek Bay,17,1576.9,5950,42.5,1576.9,0.0,0.0,98.9,1.0,98,100,0,52.7942,-131.6965
2020,025,Skincuttle Inlet,77,10640.6,26950,88.0,10640.6,0.0,0.0,90.5,5.8,83,98,0,52.3261,-131.2927
2021,006,Louscoone Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2021,021,Juan Perez Sound,35,4792.0,12250,87.9,4792.0,0.0,0.0,95.3,3.2,88,100,0,52.4169,-131.3106
2021,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2021,024,Laskeek Bay,23,447.1,8050,22.7,447.1,0.0,0.0,107.7,4.2,105,114,0,52.7619,-131.6608
2021,025,Skincuttle Inlet,80,12994.7,28000,91.0,12994.7,0.0,0.0,96.6,1.7,94,100,0,52.328,-131.2796
2022,006,Louscoone Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2022,021,Juan Perez Sound,12,1462.9,9800,63.7,267.5,85.9,1109.5,89.8,4.8,84,100,50,52.4472,-131.3231
2022,023,Naden Harbour,1,9.6,700,22.5,0.0,6.4,3.2,92.0,0,92,92,100,53.0275,-131.7794
2022,024,Laskeek Bay,6,784.3,5950,42.8,227.1,44.1,513.1,98.2,4.5,89,100,67,52.8641,-131.8067
2022,025,Skincuttle Inlet,16,3023.7,16800,59.5,162.6,67.6,2793.5,88.1,1.0,87,89,75,52.3405,-131.3032
2023,006,Louscoone Inlet,1,0.0,0,,0.0,0.0,0.0,66.0,0,66,66,0,52.2146,-131.3577
2023,021,Juan Perez Sound,9,327.6,6950,34.3,190.1,13.7,123.7,98.3,4.8,93,103,67,52.4397,-131.3575
2023,023,Naden Harbour,3,0.0,0,,0.0,0.0,0.0,86.3,0.6,86,87,0,53.0656,-131.7705
2023,024,Laskeek Bay,2,60.0,4025,15.0,0.0,10.7,49.3,117.0,0.0,117,117,100,52.8837,-131.8319
2023,025,Skincuttle Inlet,7,1196.4,14800,83.8,0.0,83.9,1112.5,99.1,2.3,94,101,100,52.3301,-131.2996
2024,006,Louscoone Inlet,4,80.6,1400,20.0,80.6,0.0,0.0,82.0,0.0,82,82,0,52.1568,-131.2263
2024,021,Juan Perez Sound,27,8568.3,31500,42.6,616.0,437.4,7514.9,93.4,1.1,92,96,44,52.4674,-131.3569
2024,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2024,024,Laskeek Bay,2,1019.1,3850,74.8,0.0,19.4,999.7,99.0,1.4,98,100,50,52.7985,-131.7369
2024,025,Skincuttle Inlet,3,2064.1,6650,90.1,0.0,0.0,2064.1,83.0,0.0,83,83,100,52.3077,-131.3174
2025,006,Louscoone Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
2025,021,Juan Perez Sound,15,6148.4,37875,58.5,0.0,490.1,5658.3,92.1,1.5,88,93,100,52.4344,-131.4135
2025,023,Naden Harbour,1,0.0,0,,0.0,0.0,0.0,84.0,0,84,84,0,53.0461,-131.7489
2025,024,Laskeek Bay,16,823.0,5600,25.8,823.0,0.0,0.0,99.5,1.1,98,101,0,52.8135,-131.7878
2025,025,Skincuttle Inlet,4,1975.7,9450,88.3,0.0,1.8,1973.9,89.2,1.5,88,91,100,52.3229,-131.3382
